Order ID,Order Date,Year,Month,Quarter,Customer Type,Region,Country,City,Category,Sub-Category,Product Name,Unit Price,Quantity,Gross Sales,Discount %,Discount Amount,Sales Revenue,Unit Cost,Total Cost,Profit,Profit Margin %,Payment Method,Order Status
ORD-2026-01587,2024-01-02,2024,2024-01,2024-Q1,Consumer,Middle East & Africa,South Africa,Cape Town,Electronics,Monitors & Displays,4K UltraWide Monitor 34-inch,648.06,3,1944.18,0.0,0.0,1944.18,331.73,995.19,948.99,48.81,Bank Transfer,Processing
ORD-2026-01713,2024-01-06,2024,2024-01,2024-Q1,Consumer,Middle East & Africa,UAE,Abu Dhabi,Apparel & Merchandise,Corporate Apparel,Branded Tech Backpack,72.9,2,145.8,5.0,7.29,138.51,28.21,56.42,82.09,59.27,Direct Invoice,Delivered
ORD-2025-01801,2024-01-09,2024,2024-01,2024-Q1,Consumer,Latin America,Brazil,São Paulo,Furniture,Chairs & Seating,Task Mesh Office Chair,195.14,4,780.56,5.0,39.03,741.53,98.95,395.8,345.73,46.62,PayPal,Processing
ORD-2024-01188,2024-01-12,2024,2024-01,2024-Q1,Corporate,Europe,United Kingdom,Manchester,Electronics,Audio & Wearables,Noise-Canceling Wireless Headphones,251.56,7,1760.92,20.0,352.18,1408.74,117.95,825.65,583.09,41.39,Direct Invoice,Shipped
ORD-2024-00508,2024-01-13,2024,2024-01,2024-Q1,Corporate,Europe,Germany,Berlin,Furniture,Chairs & Seating,ErgoExecutive Mesh Chair,445.32,17,7570.44,10.0,757.04,6813.4,240.07,4081.19,2732.21,40.1,PayPal,Delivered
ORD-2026-03597,2024-01-13,2024,2024-01,2024-Q1,Corporate,North America,Canada,Montreal,Apparel & Merchandise,Corporate Apparel,Embroidered Polo Shirt Pack,85.59,9,770.31,15.0,115.55,654.76,30.77,276.93,377.83,57.71,Bank Transfer,Delivered
ORD-2025-00570,2024-01-13,2024,2024-01,2024-Q1,Small Business,Latin America,Mexico,Mexico City,Office Supplies,Paper & Printing,High-Yield Laser Toner Cartridge,115.16,7,806.12,0.0,0.0,806.12,36.08,252.56,553.56,68.67,Bank Transfer,Cancelled
ORD-2024-01173,2024-01-14,2024,2024-01,2024-Q1,Small Business,Middle East & Africa,UAE,Abu Dhabi,Office Supplies,Desk Accessories,Dual Monitor Arm Stand,80.03,10,800.3,0.0,0.0,800.3,29.17,291.7,508.6,63.55,Credit Card,Cancelled
ORD-2025-02406,2024-01-14,2024,2024-01,2024-Q1,Corporate,North America,United States,New York,Apparel & Merchandise,Corporate Apparel,Branded Tech Backpack,72.91,9,656.19,5.0,32.81,623.38,26.68,240.12,383.26,61.48,PayPal,Cancelled
ORD-2024-01847,2024-01-15,2024,2024-01,2024-Q1,Consumer,Asia Pacific,India,Bangalore,Furniture,Desks & Tables,Electric Dual-Motor Standing Desk,624.67,4,2498.68,8.0,199.89,2298.79,351.52,1406.08,892.71,38.83,Direct Invoice,Delivered
ORD-2026-02685,2024-01-16,2024,2024-01,2024-Q1,Consumer,Asia Pacific,Singapore,Singapore,Office Supplies,Storage & Filing,Portable External SSD 2TB,166.11,4,664.44,5.0,33.22,631.22,95.72,382.88,248.34,39.34,Direct Invoice,Shipped
ORD-2025-04305,2024-01-16,2024,2024-01,2024-Q1,Corporate,North America,Canada,Montreal,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,123.37,3,370.11,0.0,0.0,370.11,50.07,150.21,219.9,59.41,Direct Invoice,Shipped
ORD-2024-03750,2024-01-16,2024,2024-01,2024-Q1,Consumer,Asia Pacific,Japan,Osaka,Furniture,Chairs & Seating,ErgoExecutive Mesh Chair,455.52,4,1822.08,8.0,145.77,1676.31,243.57,974.28,702.03,41.88,PayPal,Shipped
ORD-2026-02707,2024-01-16,2024,2024-01,2024-Q1,Consumer,Europe,France,Paris,Apparel & Merchandise,Corporate Apparel,Branded Tech Backpack,71.92,2,143.84,5.0,7.19,136.65,28.33,56.66,79.99,58.54,Direct Invoice,Delivered
ORD-2025-00694,2024-01-17,2024,2024-01,2024-Q1,Small Business,Middle East & Africa,South Africa,Cape Town,Apparel & Merchandise,Corporate Apparel,Weather-Proof Softshell Jacket,120.53,4,482.12,5.0,24.11,458.01,47.58,190.32,267.69,58.45,Direct Invoice,Cancelled
ORD-2024-03295,2024-01-17,2024,2024-01,2024-Q1,Corporate,Asia Pacific,Australia,Melbourne,Software & Cloud Services,SaaS Licenses,Enterprise ERP Annual License,3567.49,19,67782.31,10.0,6778.23,61004.08,689.74,13105.06,47899.02,78.52,PayPal,Delivered
ORD-2026-00763,2024-01-17,2024,2024-01,2024-Q1,Corporate,Asia Pacific,Japan,Osaka,Office Supplies,Paper & Printing,Premium Copy Paper A4 Box,39.96,13,519.48,0.0,0.0,519.48,13.71,178.23,341.25,65.69,PayPal,Shipped
ORD-2026-04432,2024-01-17,2024,2024-01,2024-Q1,Corporate,Latin America,Brazil,São Paulo,Office Supplies,Storage & Filing,Heavy-Duty Filing Cabinet 3-Drawer,189.05,19,3591.95,15.0,538.79,3053.16,97.07,1844.33,1208.83,39.59,Direct Invoice,Processing
